datetime;season;holiday;workingday;weather;temp;atemp;humidity;windspeed;casual;registered;count;Порядковый номер;;;
02.12.2011 03:00;4;0;1;1;9,02;13,635;80;0;0;1;1;4994;;;
07.12.2011 04:00;4;0;1;3;18,86;22,725;100;11,0014;0;1;1;5115;;;
08.12.2011 03:00;4;0;1;1;10,66;11,365;60;19,9995;0;1;1;5138;;;
18.12.2011 04:00;4;0;0;1;9,02;10,605;55;15,0013;0;1;1;5379;;;
04.01.2012 02:00;1;0;1;1;0,82;0,76;34;19,0012;0;1;1;5496;;;
04.01.2012 03:00;1;0;1;1;0,82;0,76;34;19,0012;0;1;1;5497;;;
18.01.2012 04:00;1;0;1;1;13,94;14,395;46;35,0008;0;1;1;5832;;;
19.01.2012 04:00;1;0;1;1;4,92;7,575;54;7,0015;0;1;1;5856;;;
01.02.2012 04:00;1;0;1;1;16,4;20,455;50;11,0014;0;1;1;5880;;;
02.02.2012 04:00;1;0;1;3;16,4;20,455;82;6,0032;0;1;1;5904;;;
08.02.2012 02:00;1;0;1;1;10,66;15,15;65;0;0;1;1;6045;;;
08.02.2012 03:00;1;0;1;1;10,66;15,15;65;0;0;1;1;6046;;;
08.02.2012 04:00;1;0;1;1;9,84;12,88;70;6,0032;0;1;1;6047;;;
09.02.2012 04:00;1;0;1;2;9,02;9,85;75;30,0026;0;1;1;6071;;;
12.02.2012 04:00;1;0;0;2;4,1;2,275;46;47,9988;0;1;1;6143;;;
13.02.2012 03:00;1;0;1;1;4,92;7,575;54;7,0015;0;1;1;6166;;;
15.02.2012 04:00;1;0;1;1;11,48;14,395;70;7,0015;0;1;1;6215;;;
16.02.2012 03:00;1;0;1;2;12,3;16,665;61;0;0;1;1;6238;;;
17.02.2012 03:00;1;0;1;2;11,48;14,395;93;7,0015;0;1;1;6262;;;
17.02.2012 04:00;1;0;1;2;11,48;13,635;93;12,998;0;1;1;6263;;;
18.02.2012 05:00;1;0;0;1;9,84;12,88;70;6,0032;0;1;1;6288;;;
05.03.2012 03:00;1;0;1;1;9,02;11,365;51;11,0014;0;1;1;6430;;;
05.03.2012 04:00;1;0;1;1;8,2;11,365;55;6,0032;0;1;1;6431;;;
06.03.2012 03:00;1;0;1;1;7,38;8,335;51;19,0012;0;1;1;6454;;;
09.03.2012 04:00;1;0;1;3;16,4;20,455;66;19,0012;0;1;1;6527;;;
13.03.2012 02:00;1;0;1;3;21,32;25;72;19,9995;0;1;1;6620;;;
13.03.2012 04:00;1;0;1;2;18,86;22,725;82;12,998;0;1;1;6622;;;
03.04.2012 04:00;2;0;1;1;13,12;16,665;66;6,0032;0;1;1;6837;;;
04.04.2012 04:00;2;0;1;1;17,22;21,21;67;6,0032;0;1;1;6861;;;
05.04.2012 04:00;2;0;1;1;15,58;19,695;43;19,0012;0;1;1;6885;;;
12.04.2012 04:00;2;0;1;1;12,3;14,395;61;15,0013;0;1;1;7052;;;
09.05.2012 02:00;2;0;1;3;22,96;26,515;88;30,0026;0;1;1;7434;;;
14.11.2012 02:00;4;0;1;1;9,84;10,605;60;19,9995;0;1;1;10289;;;
11.12.2012 02:00;4;0;1;2;16,4;20,455;66;22,0028;0;1;1;10673;;;
01.01.2011 06:00;1;0;0;1;9,02;13,635;80;0;2;0;2;7;;;
02.01.2011 06:00;1;0;0;3;17,22;21,21;77;19,9995;0;2;2;30;;;
03.01.2011 01:00;1;0;1;1;8,2;8,335;44;27,9993;0;2;2;49;;;
04.01.2011 01:00;1;0;1;1;6,56;9,09;59;7,0015;0;2;2;71;;;
04.01.2011 04:00;1;0;1;1;5,74;9,09;63;6,0032;0;2;2;73;;;
05.01.2011 02:00;1;0;1;1;6,56;9,85;74;6,0032;0;2;2;95;;;
05.01.2011 04:00;1;0;1;1;9,84;11,365;48;15,0013;0;2;2;96;;;
06.01.2011 02:00;1;0;1;1;6,56;11,365;64;0;0;2;2;118;;;
08.01.2011 06:00;1;0;0;2;6,56;8,335;74;11,0014;0;2;2;168;;;
13.01.2011 01:00;1;0;1;1;5,74;6,06;50;19,0012;0;2;2;279;;;
13.01.2011 02:00;1;0;1;1;5,74;6,06;50;23,9994;0;2;2;280;;;
16.01.2011 05:00;1;0;0;2;10,66;12,88;56;11,0014;1;1;2;354;;;
17.01.2011 03:00;1;1;0;2;7,38;9,09;43;12,998;0;2;2;376;;;
19.01.2011 04:00;1;0;1;3;9,02;11,365;93;8,9981;1;1;2;412;;;
01.02.2011 02:00;1;0;1;2;6,56;11,365;69;0;0;2;2;434;;;
01.02.2011 03:00;1;0;1;2;6,56;11,365;69;0;0;2;2;435;;;
02.02.2011 00:00;1;0;1;3;9,02;12,12;93;7,0015;0;2;2;455;;;
03.02.2011 02:00;1;0;1;1;7,38;8,335;43;16,9979;0;2;2;481;;;
03.02.2011 05:00;1;0;1;1;6,56;6,82;50;19,9995;0;2;2;483;;;
06.02.2011 04:00;1;0;0;1;10,66;11,365;60;23,9994;0;2;2;553;;;
07.02.2011 04:00;1;0;1;1;8,2;12,88;86;0;1;1;2;577;;;
08.02.2011 02:00;1;0;1;2;10,66;13,635;93;7,0015;1;1;2;599;;;
08.02.2011 05:00;1;0;1;1;10,66;11,365;81;22,0028;0;2;2;602;;;
09.02.2011 03:00;1;0;1;1;2,46;3,79;45;8,9981;0;2;2;624;;;
12.02.2011 06:00;1;0;0;1;4,92;6,82;93;12,998;1;1;2;695;;;
13.02.2011 04:00;1;0;0;2;8,2;10,605;69;11,0014;0;2;2;717;;;
14.02.2011 02:00;1;0;1;1;14,76;16,665;40;19,9995;0;2;2;738;;;
14.02.2011 03:00;1;0;1;1;13,94;15,91;46;15,0013;1;1;2;739;;;
14.02.2011 04:00;1;0;1;1;13,12;15,15;53;19,0012;0;2;2;740;;;
01.03.2011 03:00;1;0;1;1;9,02;10,605;69;19,0012;0;2;2;881;;;
01.03.2011 05:00;1;0;1;1;8,2;9,09;64;19,0012;1;1;2;883;;;
02.03.2011 02:00;1;0;1;1;9,02;11,365;69;12,998;0;2;2;904;;;
04.03.2011 02:00;1;0;1;2;7,38;9,09;64;12,998;0;2;2;952;;;
05.03.2011 03:00;1;0;0;2;12,3;14,395;87;12,998;0;2;2;977;;;
06.03.2011 06:00;1;0;0;2;17,22;21,21;94;23,9994;1;1;2;1003;;;
07.03.2011 01:00;1;0;1;3;8,2;9,09;100;22,0028;0;2;2;1022;;;
08.03.2011 04:00;1;0;1;1;9,02;13,635;64;0;0;2;2;1048;;;
09.03.2011 02:00;1;0;1;1;10,66;13,635;52;8,9981;1;1;2;1070;;;
09.03.2011 04:00;1;0;1;1;9,84;12,88;75;7,0015;0;2;2;1072;;;
10.03.2011 01:00;1;0;1;3;13,94;15,91;0;16,9979;0;2;2;1093;;;
11.03.2011 03:00;1;0;1;2;13,12;16,665;93;6,0032;0;2;2;1117;;;
12.03.2011 05:00;1;0;0;1;9,02;11,365;69;12,998;0;2;2;1142;;;
13.03.2011 06:00;1;0;0;1;13,94;18,18;66;0;0;2;2;1166;;;
15.03.2011 04:00;1;0;1;1;9,84;12,88;75;6,0032;1;1;2;1210;;;
17.03.2011 03:00;1;0;1;1;13,94;16,665;66;11,0014;1;1;2;1256;;;
19.03.2011 05:00;1;0;0;1;21,32;25;34;27,9993;0;2;2;1305;;;
04.04.2011 02:00;2;0;1;1;15,58;19,695;66;16,9979;1;1;2;1398;;;
04.04.2011 04:00;2;0;1;1;15,58;19,695;71;19,9995;1;1;2;1400;;;
05.04.2011 04:00;2;0;1;3;20,5;24,24;88;32,9975;0;2;2;1424;;;
06.04.2011 01:00;2;0;1;1;10,66;13,635;60;8,9981;0;2;2;1445;;;
13.04.2011 02:00;2;0;1;3;16,4;20,455;100;19,9995;0;2;2;1613;;;
13.04.2011 03:00;2;0;1;3;16,4;20,455;94;22,0028;0;2;2;1614;;;
14.04.2011 03:00;2;0;1;1;13,94;16,665;81;8,9981;0;2;2;1638;;;
03.05.2011 03:00;2;0;1;1;22,14;25,76;83;19,0012;0;2;2;1830;;;
10.05.2011 04:00;2;0;1;1;17,22;21,21;62;16,9979;0;2;2;1999;;;
11.05.2011 04:00;2;0;1;2;19,68;23,485;88;8,9981;0;2;2;2023;;;
07.06.2011 03:00;2;0;1;1;24,6;29,545;73;6,0032;1;1;2;2382;;;
09.06.2011 03:00;2;0;1;2;29,52;35,605;84;7,0015;0;2;2;2430;;;
14.06.2011 03:00;2;0;1;1;23,78;27,275;53;22,0028;1;1;2;2550;;;
06.09.2011 02:00;3;0;1;3;22,14;25,76;94;16,9979;0;2;2;3724;;;
07.09.2011 03:00;3;0;1;3;22,96;26,515;94;8,9981;1;1;2;3749;;;
08.09.2011 03:00;3;0;1;3;25,42;27,275;94;0;0;2;2;3772;;;
09.09.2011 03:00;3;0;1;2;25,42;27,275;94;16,9979;1;1;2;3796;;;
12.09.2011 02:00;3;0;1;1;22,96;26,515;88;0;2;0;2;3867;;;
13.09.2011 02:00;3;0;1;1;24,6;28,79;78;0;2;0;2;3890;;;
12.10.2011 02:00;4;0;1;2;22,96;26,515;83;19,0012;0;2;2;4322;;;
12.10.2011 03:00;4;0;1;3;22,14;25,76;94;19,9995;0;2;2;4323;;;
17.10.2011 03:00;4;0;1;1;22,96;26,515;49;12,998;0;2;2;4443;;;
02.11.2011 02:00;4;0;1;1;12,3;16,665;87;0;0;2;2;4537;;;
02.11.2011 03:00;4;0;1;1;12,3;16,665;75;0;0;2;2;4538;;;
05.11.2011 05:00;4;0;0;1;10,66;11,365;60;22,0028;0;2;2;4612;;;
07.11.2011 02:00;4;0;1;1;13,12;17,425;93;0;0;2;2;4657;;;
18.11.2011 03:00;4;0;1;1;9,84;10,605;41;19,0012;0;2;2;4922;;;
19.11.2011 05:00;4;0;0;1;9,84;11,365;56;16,9979;0;2;2;4948;;;
05.12.2011 03:00;4;0;1;1;13,12;17,425;87;0;0;2;2;5066;;;
08.12.2011 04:00;4;0;1;2;9,84;9,85;60;31,0009;0;2;2;5139;;;
09.12.2011 04:00;4;0;1;1;9,02;13,635;80;0;1;1;2;5163;;;
12.12.2011 03:00;4;0;1;1;7,38;12,12;74;0;0;2;2;5234;;;
13.12.2011 02:00;4;0;1;1;8,2;12,88;80;0;1;1;2;5257;;;
14.12.2011 02:00;4;0;1;1;10,66;15,15;75;0;0;2;2;5281;;;
01.01.2012 06:00;1;0;0;1;10,66;13,635;93;8,9981;1;1;2;5429;;;
03.01.2012 03:00;1;0;1;1;6,56;6,82;55;19,0012;0;2;2;5473;;;
04.01.2012 04:00;1;0;1;1;0,82;2,275;41;12,998;0;2;2;5498;;;
08.01.2012 05:00;1;0;0;2;13,12;16,665;49;7,0015;0;2;2;5595;;;
08.01.2012 06:00;1;0;0;2;12,3;16,665;52;0;0;2;2;5596;;;
11.01.2012 04:00;1;0;1;1;8,2;10,605;80;8,9981;0;2;2;5665;;;
12.01.2012 02:00;1;0;1;3;14,76;17,425;93;16,9979;1;1;2;5687;;;
12.01.2012 04:00;1;0;1;3;14,76;17,425;93;12,998;0;2;2;5689;;;
17.01.2012 01:00;1;0;1;2;11,48;12,88;65;23,9994;0;2;2;5806;;;
17.01.2012 04:00;1;0;1;3;13,12;15,15;66;22,0028;0;2;2;5808;;;
18.01.2012 02:00;1;0;1;2;18,04;21,97;51;32,9975;1;1;2;5830;;;
02.02.2012 03:00;1;0;1;2;17,22;21,21;67;8,9981;0;2;2;5903;;;
03.02.2012 04:00;1;0;1;1;10,66;12,88;60;15,0013;0;2;2;5928;;;
06.02.2012 04:00;1;0;1;1;7,38;10,605;80;7,0015;0;2;2;5999;;;
07.02.2012 03:00;1;0;1;2;12,3;16,665;70;0;1;1;2;6022;;;
09.02.2012 02:00;1;0;1;1;9,02;11,365;80;8,9981;0;2;2;6069;;;
10.02.2012 04:00;1;0;1;1;10,66;14,395;56;6,0032;0;2;2;6095;;;
11.02.2012 05:00;1;0;0;3;9,02;11,365;93;11,0014;0;2;2;6120;;;
12.02.2012 06:00;1;0;0;1;4,1;3,79;49;26,0027;0;2;2;6145;;;
13.02.2012 04:00;1;0;1;1;4,92;8,335;54;6,0032;0;2;2;6167;;;
14.02.2012 04:00;1;0;1;2;10,66;13,635;65;7,0015;0;2;2;6191;;;
19.02.2012 05:00;1;0;0;2;10,66;11,365;48;19,9995;1;1;2;6312;;;
02.03.2012 04:00;1;0;1;1;13,12;17,425;61;0;0;2;2;6359;;;
03.03.2012 04:00;1;0;0;2;14,76;17,425;93;12,998;0;2;2;6383;;;
03.03.2012 05:00;1;0;0;2;14,76;18,18;93;6,0032;1;1;2;6384;;;
08.03.2012 04:00;1;0;1;1;18,04;21,97;72;19,0012;0;2;2;6503;;;
12.03.2012 03:00;1;0;1;1;14,76;17,425;50;8,9981;0;2;2;6597;;;
13.03.2012 03:00;1;0;1;3;21,32;25;72;19,9995;0;2;2;6621;;;
14.03.2012 02:00;1;0;1;1;20,5;24,24;68;12,998;0;2;2;6644;;;
17.03.2012 04:00;1;0;0;2;17,22;21,21;94;0;0;2;2;6718;;;
19.03.2012 03:00;1;0;1;1;18,86;22,725;88;6,0032;0;2;2;6765;;;
07.04.2012 05:00;2;0;0;1;13,12;15,91;33;11,0014;0;2;2;6934;;;
10.04.2012 02:00;2;0;1;1;14,76;17,425;71;8,9981;0;2;2;7003;;;
10.04.2012 03:00;2;0;1;1;14,76;17,425;71;8,9981;0;2;2;7004;;;
10.04.2012 04:00;2;0;1;1;13,94;16,665;71;8,9981;0;2;2;7005;;;
11.04.2012 02:00;2;0;1;1;13,12;15,15;45;19,0012;0;2;2;7027;;;
11.04.2012 03:00;2;0;1;1;12,3;14,395;49;15,0013;0;2;2;7028;;;
03.05.2012 04:00;2;0;1;2;18,86;22,725;88;16,9979;0;2;2;7292;;;
07.05.2012 04:00;2;0;1;2;18,86;22,725;88;8,9981;0;2;2;7388;;;
09.05.2012 03:00;2;0;1;3;22,96;26,515;88;11,0014;0;2;2;7435;;;
10.05.2012 04:00;2;0;1;1;18,86;22,725;77;12,998;0;2;2;7460;;;
14.05.2012 02:00;2;0;1;1;24,6;30,305;60;19,9995;1;1;2;7554;;;
14.05.2012 03:00;2;0;1;2;23,78;27,275;68;22,0028;0;2;2;7555;;;
03.07.2012 03:00;3;0;1;1;28,7;32,575;65;8,9981;0;2;2;8203;;;
09.07.2012 04:00;3;0;1;3;27,06;29,545;89;26,0027;1;1;2;8348;;;
02.10.2012 02:00;4;0;1;2;22,14;25,76;77;7,0015;0;2;2;9546;;;
16.10.2012 03:00;4;0;1;1;17,22;21,21;67;7,0015;0;2;2;9883;;;
06.11.2012 02:00;4;0;1;1;9,84;12,88;65;6,0032;0;2;2;10098;;;
15.11.2012 03:00;4;0;1;2;10,66;14,395;70;6,0032;0;2;2;10314;;;
19.11.2012 03:00;4;0;1;2;14,76;17,425;66;15,0013;0;2;2;10410;;;
06.12.2012 03:00;4;0;1;1;9,02;11,365;55;12,998;0;2;2;10554;;;
13.12.2012 03:00;4;0;1;2;10,66;12,12;56;19,0012;0;2;2;10722;;;
01.01.2011 07:00;1;0;0;1;8,2;12,88;86;0;1;2;3;8;;;
02.01.2011 04:00;1;0;0;2;18,86;22,725;94;12,998;2;1;3;29;;;
03.01.2011 05:00;1;0;1;1;6,56;6,82;47;19,0012;0;3;3;51;;;
05.01.2011 05:00;1;0;1;1;9,02;11,365;47;11,0014;0;3;3;97;;;
10.01.2011 02:00;1;0;1;1;4,92;6,06;50;15,0013;0;3;3;212;;;
10.01.2011 04:00;1;0;1;1;4,1;6,06;54;8,9981;1;2;3;214;;;
10.01.2011 05:00;1;0;1;1;4,1;5,305;54;16,9979;0;3;3;215;;;
11.01.2011 01:00;1;0;1;1;5,74;7,575;59;11,0014;0;3;3;235;;;
11.01.2011 02:00;1;0;1;2;6,56;7,575;55;12,998;0;3;3;236;;;
13.01.2011 03:00;1;0;1;1;5,74;6,06;50;22,0028;0;3;3;281;;;
13.01.2011 05:00;1;0;1;1;5,74;6,06;50;19,9995;0;3;3;283;;;
15.01.2011 06:00;1;0;0;1;5,74;8,335;63;7,0015;1;2;3;331;;;
16.01.2011 07:00;1;0;0;2;9,84;10,605;56;19,9995;0;3;3;356;;;
17.01.2011 04:00;1;1;0;2;7,38;9,85;43;8,9981;1;2;3;377;;;
18.01.2011 12:00;1;0;1;2;8,2;9,09;86;22,0028;0;3;3;397;;;
19.01.2011 00:00;1;0;1;2;9,02;13,635;93;0;0;3;3;409;;;
19.01.2011 02:00;1;0;1;3;9,02;11,365;93;8,9981;0;3;3;411;;;
01.02.2011 01:00;1;0;1;2;6,56;9,09;69;7,0015;0;3;3;433;;;
01.02.2011 05:00;1;0;1;3;5,74;10,605;93;0;0;3;3;436;;;
02.02.2011 01:00;1;0;1;3;9,02;11,365;93;12,998;0;3;3;456;;;
02.02.2011 05:00;1;0;1;3;9,02;12,12;93;7,0015;0;3;3;460;;;
07.02.2011 02:00;1;0;1;1;8,2;12,88;80;0;0;3;3;575;;;
08.02.2011 04:00;1;0;1;1;10,66;12,88;93;11,0014;0;3;3;601;;;
09.02.2011 02:00;1;0;1;1;3,28;3,79;38;19,0012;1;2;3;623;;;
10.02.2011 02:00;1;0;1;3;5,74;7,575;80;8,9981;0;3;3;646;;;
11.02.2011 02:00;1;0;1;1;4,1;6,82;54;6,0032;0;3;3;669;;;
13.02.2011 07:00;1;0;0;2;9,02;13,635;55;0;0;3;3;719;;;
14.02.2011 05:00;1;0;1;1;13,12;15,15;53;19,0012;0;3;3;741;;;
15.02.2011 02:00;1;0;1;1;11,48;11,365;41;46,0022;1;2;3;762;;;
19.02.2011 04:00;1;0;0;1;16,4;20,455;15;22,0028;0;3;3;858;;;
19.02.2011 05:00;1;0;0;1;16,4;20,455;15;22,0028;0;3;3;859;;;
01.03.2011 01:00;1;0;1;1;10,66;11,365;70;23,9994;0;3;3;879;;;
03.03.2011 02:00;1;0;1;1;8,2;8,335;27;31,0009;1;2;3;928;;;
05.03.2011 05:00;1;0;0;2;12,3;15,15;100;8,9981;0;3;3;979;;;
06.03.2011 04:00;1;0;0;2;17,22;21,21;88;23,9994;0;3;3;1002;;;
09.03.2011 03:00;1;0;1;1;9,84;12,88;70;6,0032;1;2;3;1071;;;
10.03.2011 00:00;1;0;1;3;13,94;15,91;0;16,9979;3;0;3;1092;;;
10.03.2011 05:00;1;0;1;3;14,76;17,425;0;12,998;1;2;3;1095;;;
13.03.2011 05:00;1;0;0;1;14,76;17,425;62;8,9981;0;3;3;1165;;;
14.03.2011 03:00;1;0;1;1;10,66;13,635;65;8,9981;0;3;3;1187;;;
15.03.2011 02:00;1;0;1;1;12,3;15,15;62;6,0032;1;2;3;1209;;;
16.03.2011 01:00;1;0;1;3;12,3;13,635;100;19,9995;1;2;3;1231;;;
16.03.2011 03:00;1;0;1;2;11,48;13,635;100;15,0013;1;2;3;1232;;;
16.03.2011 05:00;1;0;1;2;12,3;15,91;93;7,0015;0;3;3;1234;;;
17.03.2011 04:00;1;0;1;1;13,94;16,665;71;12,998;0;3;3;1257;;;
19.03.2011 04:00;1;0;0;1;21,32;25;34;27,9993;1;2;3;1304;;;
01.04.2011 04:00;2;0;1;2;9,84;11,365;93;16,9979;0;3;3;1328;;;
03.04.2011 04:00;2;0;0;1;11,48;15,15;70;6,0032;3;0;3;1376;;;
07.04.2011 03:00;2;0;1;1;14,76;17,425;66;12,998;0;3;3;1471;;;
09.04.2011 04:00;2;0;0;3;12,3;13,635;100;16,9979;0;3;3;1520;;;
13.04.2011 04:00;2;0;1;3;16,4;20,455;94;22,0028;1;2;3;1615;;;
14.04.2011 02:00;2;0;1;1;14,76;17,425;76;8,9981;0;3;3;1637;;;
15.04.2011 03:00;2;1;0;1;16,4;20,455;76;0;0;3;3;1662;;;
15.04.2011 04:00;2;1;0;1;15,58;19,695;82;6,0032;0;3;3;1663;;;
17.04.2011 05:00;2;0;0;1;14,76;17,425;71;11,0014;2;1;3;1712;;;
19.04.2011 03:00;2;0;1;1;19,68;23,485;63;15,0013;0;3;3;1758;;;
04.05.2011 04:00;2;0;1;3;15,58;19,695;94;22,0028;1;2;3;1855;;;
11.05.2011 03:00;2;0;1;1;20,5;24,24;63;15,0013;0;3;3;2022;;;
18.05.2011 04:00;2;0;1;3;21,32;25;94;19,9995;1;2;3;2191;;;
01.06.2011 02:00;2;0;1;1;28,7;33,335;79;11,0014;0;3;3;2237;;;
02.06.2011 04:00;2;0;1;1;27,06;31,06;41;12,998;0;3;3;2263;;;
08.06.2011 03:00;2;0;1;1;26,24;28,79;89;6,0032;2;1;3;2406;;;
14.06.2011 04:00;2;0;1;1;22,14;25,76;60;16,9979;0;3;3;2551;;;
03.07.2011 06:00;3;0;0;2;25,42;27,275;94;6,0032;0;3;3;2745;;;
19.07.2011 03:00;3;0;1;1;29,52;34,09;70;11,0014;2;1;3;3126;;;
04.08.2011 03:00;3;0;1;3;27,06;29,545;94;6,0032;0;3;3;3222;;;
09.08.2011 03:00;3;0;1;1;29,52;34,09;62;0;0;3;3;3342;;;
14.08.2011 04:00;3;0;0;3;26,24;28,03;94;12,998;1;2;3;3463;;;
15.08.2011 02:00;3;0;1;2;24,6;28,03;83;0;0;3;3;3485;;;
